S/N,Order_Date,TransactionID,CustomerID,ProductID,Quantity_Supplied,Discount(%)
963,9/19/2019,DCLPS/1517,DCP/pop/5491,DCCP/Class M/1539,210,6
964,9/20/2019,DCLPS/1518,DCP/pop/5523,DCCP/Class J /1483,4,4
965,9/20/2019,DCLPS/1519,DCP/pop/5659,DCCP/Class J /1538,77,10
966,9/24/2019,DCLPS/1520,DCP/pop/5572,DCCP/Class J /1481,117,0
967,9/25/2019,DCLPS/1521,DCP/pop/5648,DCCP/Class J /1489,118,9
968,9/25/2019,DCLPS/1522,DCP/pop/5552,DCCP/Class J /1475,298,5
969,9/25/2019,DCLPS/1523,DCP/pop/5543,DCCP/Class J /1483,266,1
970,9/25/2019,DCLPS/1524,DCP/pop/5639,DCCP/Class M/1534,180,6
971,9/25/2019,DCLPS/1525,DCP/pop/5617,DCCP/Class V/1504,274,4
972,9/26/2019,DCLPS/1526,DCP/pop/5500,DCCP/Class H/1513,10,5
973,9/26/2019,DCLPS/1527,DCP/pop/5652,DCCP/Class H/1514,42,6
974,9/26/2019,DCLPS/1528,DCP/pop/5621,DCCP/Class J /1494,110,4
975,9/27/2019,DCLPS/1529,DCP/pop/5659,DCCP/Class M/1523,100,4
976,9/30/2019,DCLPS/1530,DCP/pop/5643,DCCP/Class J /1488,291,10
977,9/30/2019,DCLPS/1531,DCP/pop/5633,DCCP/Class A/1476,253,5
978,9/30/2019,DCLPS/1532,DCP/pop/5633,DCCP/Class A/1476,201,2
979,9/30/2019,DCLPS/1533,DCP/pop/5600,DCCP/Class A/1487,87,7
980,9/30/2019,DCLPS/1534,DCP/pop/5497,DCCP/Class J /1488,79,9
981,9/30/2019,DCLPS/1535,DCP/pop/5620,DCCP/Class J /1483,277,0
982,9/30/2019,DCLPS/1536,DCP/pop/5609,DCCP/Class M/1486,278,8
983,10/2/2019,DCLPS/1537,DCP/pop/5544,DCCP/Class A/1487,182,1
984,10/2/2019,DCLPS/1538,DCP/pop/5599,DCCP/Class J /1488,75,6
985,10/2/2019,DCLPS/1539,DCP/pop/5480,DCCP/Class WT/1478,263,9
986,10/2/2019,DCLPS/1540,DCP/pop/5645,DCCP/Class A/1476,202,6
987,10/2/2019,DCLPS/1541,DCP/pop/5500,DCCP/Class J /1483,226,4
988,10/3/2019,DCLPS/1542,DCP/pop/5630,DCCP/Class A/1487,168,7
989,10/3/2019,DCLPS/1543,DCP/pop/5502,DCCP/Class A/1476,261,2
990,10/3/2019,DCLPS/1544,DCP/pop/5495,DCCP/Class A/1485,191,9
991,10/3/2019,DCLPS/1545,DCP/pop/5596,DCCP/Class J /1488,66,10
992,10/4/2019,DCLPS/1546,DCP/pop/5627,DCCP/Class J /1489,248,4
993,10/10/2019,DCLPS/1547,DCP/pop/5542,DCCP/Class WT/1478,223,0
994,10/10/2019,DCLPS/1548,DCP/pop/5533,DCCP/Class A/1476,175,9
995,10/10/2019,DCLPS/1549,DCP/pop/5629,DCCP/Class H/1514,88,10
996,10/10/2019,DCLPS/1550,DCP/pop/5568,DCCP/Class J /1488,173,6
997,10/10/2019,DCLPS/1551,DCP/pop/5492,DCCP/Class A/1485,78,1
998,10/10/2019,DCLPS/1552,DCP/pop/5531,DCCP/Class H/1514,281,7
999,10/10/2019,DCLPS/1553,DCP/pop/5638,DCCP/Class J /1488,76,6
1000,10/10/2019,DCLPS/1554,DCP/pop/5580,DCCP/Class J /1488,253,9
1001,10/10/2019,DCLPS/1555,DCP/pop/5506,DCCP/Class A/1477,162,5
1002,10/10/2019,DCLPS/1556,DCP/pop/5486,DCCP/Class J /1483,35,1
1003,10/10/2019,DCLPS/1557,DCP/pop/5621,DCCP/Class A/1536,74,8
1004,10/11/2019,DCLPS/1558,DCP/pop/5576,DCCP/Class WT/1478,210,0
1005,10/11/2019,DCLPS/1559,DCP/pop/5530,DCCP/Class A/1536,3,2
1006,10/11/2019,DCLPS/1560,DCP/pop/5636,DCCP/Class J /1488,273,9
1007,10/11/2019,DCLPS/1561,DCP/pop/5597,DCCP/Class A/1536,185,2
1008,10/11/2019,DCLPS/1562,DCP/pop/5652,DCCP/Class J /1488,269,8
1009,10/11/2019,DCLPS/1563,DCP/pop/5622,DCCP/Class V/1505,56,6
1010,10/11/2019,DCLPS/1564,DCP/pop/5573,DCCP/Class V/1496,235,1
1011,10/14/2019,DCLPS/1565,DCP/pop/5596,DCCP/Class V/1504,119,9
1012,10/15/2019,DCLPS/1566,DCP/pop/5498,DCCP/Class A/1485,217,9
1013,10/15/2019,DCLPS/1567,DCP/pop/5494,DCCP/Class J /1488,274,6
1014,10/15/2019,DCLPS/1568,DCP/pop/5628,DCCP/Class A/1536,234,1
1015,10/15/2019,DCLPS/1569,DCP/pop/5483,DCCP/Class A/1477,69,3
1016,10/15/2019,DCLPS/1570,DCP/pop/5646,DCCP/Class J /1488,107,3
1017,10/15/2019,DCLPS/1571,DCP/pop/5494,DCCP/Class J /1482,10,9
1018,10/15/2019,DCLPS/1572,DCP/pop/5492,DCCP/Class J /1494,181,6
1019,10/15/2019,DCLPS/1573,DCP/pop/5546,DCCP/Class A/1484,150,6
1020,10/15/2019,DCLPS/1574,DCP/pop/5614,DCCP/Class A/1536,156,8
1021,10/15/2019,DCLPS/1575,DCP/pop/5623,DCCP/Class H/1514,280,0
1022,10/15/2019,DCLPS/1576,DCP/pop/5606,DCCP/Class J /1483,91,4
1023,10/15/2019,DCLPS/1577,DCP/pop/5612,DCCP/Class J /1494,299,9
1024,10/15/2019,DCLPS/1578,DCP/pop/5605,DCCP/Class J /1488,62,2
1025,10/15/2019,DCLPS/1579,DCP/pop/5637,DCCP/Class J /1515,29,3
1026,10/15/2019,DCLPS/1580,DCP/pop/5562,DCCP/Class A/1485,134,1
1027,10/15/2019,DCLPS/1581,DCP/pop/5611,DCCP/Class A/1477,110,2
1028,10/15/2019,DCLPS/1582,DCP/pop/5523,DCCP/Class A/1487,215,5
1029,10/15/2019,DCLPS/1583,DCP/pop/5623,DCCP/Class A/1476,131,6
1030,10/15/2019,DCLPS/1584,DCP/pop/5557,DCCP/Class A/1536,282,4
1031,10/15/2019,DCLPS/1585,DCP/pop/5540,DCCP/Class J /1483,256,7
1032,10/15/2019,DCLPS/1586,DCP/pop/5517,DCCP/Class J /1488,36,7
1033,10/15/2019,DCLPS/1587,DCP/pop/5613,DCCP/Class WT/1478,256,3
1034,10/15/2019,DCLPS/1588,DCP/pop/5531,DCCP/Class J /1488,184,6
1035,10/16/2019,DCLPS/1589,DCP/pop/5545,DCCP/Class J /1488,38,1
1036,10/17/2019,DCLPS/1590,DCP/pop/5658,DCCP/Class M/1539,209,6
1037,10/17/2019,DCLPS/1591,DCP/pop/5640,DCCP/Class WT/1478,82,6
1038,10/17/2019,DCLPS/1592,DCP/pop/5613,DCCP/Class A/1476,116,9
1039,10/17/2019,DCLPS/1593,DCP/pop/5569,DCCP/Class J /1494,100,10
1040,10/17/2019,DCLPS/1594,DCP/pop/5574,DCCP/Class J /1488,80,3
1041,10/17/2019,DCLPS/1595,DCP/pop/5618,DCCP/Class A/1485,80,1
1042,10/17/2019,DCLPS/1596,DCP/pop/5627,DCCP/Class A/1485,87,6
1043,10/17/2019,DCLPS/1597,DCP/pop/5541,DCCP/Class J /1483,272,9
1044,10/17/2019,DCLPS/1598,DCP/pop/5624,DCCP/Class A/1476,120,8
1045,10/17/2019,DCLPS/1599,DCP/pop/5491,DCCP/Class A/1476,209,1
1046,10/17/2019,DCLPS/1600,DCP/pop/5519,DCCP/Class A/1487,129,9
1047,10/17/2019,DCLPS/1601,DCP/pop/5643,DCCP/Class J /1494,13,10
1048,10/18/2019,DCLPS/1602,DCP/pop/5645,DCCP/Class WT/1478,298,8
1049,10/18/2019,DCLPS/1603,DCP/pop/5621,DCCP/Class A/1487,65,8
1050,10/18/2019,DCLPS/1604,DCP/pop/5616,DCCP/Class A/1476,15,0
1051,10/18/2019,DCLPS/1605,DCP/pop/5558,DCCP/Class A/1477,134,7
1052,10/18/2019,DCLPS/1606,DCP/pop/5624,DCCP/Class J /1493,172,5
1053,10/21/2019,DCLPS/1607,DCP/pop/5617,DCCP/Class M/1532,279,7
1054,10/21/2019,DCLPS/1608,DCP/pop/5643,DCCP/Class A/1487,248,8
1055,10/21/2019,DCLPS/1609,DCP/pop/5478,DCCP/Class J /1483,62,2
1056,10/21/2019,DCLPS/1610,DCP/pop/5651,DCCP/Class J /1488,56,7
1057,10/21/2019,DCLPS/1611,DCP/pop/5609,DCCP/Class A/1485,248,9
1058,10/21/2019,DCLPS/1612,DCP/pop/5601,DCCP/Class A/1477,242,8
1059,10/21/2019,DCLPS/1613,DCP/pop/5583,DCCP/Class A/1476,292,2
1060,10/21/2019,DCLPS/1614,DCP/pop/5558,DCCP/Class H/1513,37,5
1061,10/21/2019,DCLPS/1615,DCP/pop/5590,DCCP/Class V/1541,183,10
1062,10/21/2019,DCLPS/1616,DCP/pop/5626,DCCP/Class J /1483,124,5
1063,10/22/2019,DCLPS/1617,DCP/pop/5626,DCCP/Class J /1488,232,0
1064,10/22/2019,DCLPS/1618,DCP/pop/5538,DCCP/Class J /1475,71,0
1065,10/22/2019,DCLPS/1619,DCP/pop/5520,DCCP/Class J /1483,144,1
1066,10/22/2019,DCLPS/1620,DCP/pop/5496,DCCP/Class J /1488,2,0
1067,10/22/2019,DCLPS/1621,DCP/pop/5556,DCCP/Class J /1494,17,8
1068,10/22/2019,DCLPS/1622,DCP/pop/5584,DCCP/Class A/1484,184,3
1069,10/24/2019,DCLPS/1623,DCP/pop/5616,DCCP/Class M/1530,30,1
1070,10/24/2019,DCLPS/1624,DCP/pop/5493,DCCP/Class A/1476,8,1
1071,10/24/2019,DCLPS/1625,DCP/pop/5632,DCCP/Class J /1494,144,5
1072,10/24/2019,DCLPS/1626,DCP/pop/5608,DCCP/Class J /1483,219,0
1073,10/24/2019,DCLPS/1627,DCP/pop/5602,DCCP/Class J /1488,59,0
1074,10/24/2019,DCLPS/1628,DCP/pop/5530,DCCP/Class A/1484,61,5
1075,10/24/2019,DCLPS/1629,DCP/pop/5517,DCCP/Class J /1494,254,10
1076,10/24/2019,DCLPS/1630,DCP/pop/5491,DCCP/Class J /1488,182,7
1077,10/28/2019,DCLPS/1631,DCP/pop/5624,DCCP/Class H/1514,168,3
1078,10/28/2019,DCLPS/1632,DCP/pop/5578,DCCP/Class WT/1526,144,9
1079,10/28/2019,DCLPS/1633,DCP/pop/5579,DCCP/Class A/1536,204,5
1080,10/28/2019,DCLPS/1634,DCP/pop/5557,DCCP/Class A/1477,44,6
1081,10/28/2019,DCLPS/1635,DCP/pop/5638,DCCP/Class A/1485,6,6
1082,10/28/2019,DCLPS/1636,DCP/pop/5528,DCCP/Class J /1488,254,4
1083,10/29/2019,DCLPS/1637,DCP/pop/5582,DCCP/Class A/1484,98,8
1084,10/29/2019,DCLPS/1638,DCP/pop/5547,DCCP/Class A/1476,212,4
1085,10/29/2019,DCLPS/1639,DCP/pop/5623,DCCP/Class V/1521,145,9
1086,10/29/2019,DCLPS/1640,DCP/pop/5580,DCCP/Class A/1476,191,10
1087,10/29/2019,DCLPS/1641,DCP/pop/5570,DCCP/Class A/1485,298,8
1088,10/29/2019,DCLPS/1642,DCP/pop/5609,DCCP/Class J /1515,75,8
1089,10/29/2019,DCLPS/1643,DCP/pop/5545,DCCP/Class H/1514,237,3
1090,10/29/2019,DCLPS/1644,DCP/pop/5577,DCCP/Class J /1525,160,4
1091,10/29/2019,DCLPS/1645,DCP/pop/5523,DCCP/Class J /1488,270,1
1092,10/29/2019,DCLPS/1646,DCP/pop/5651,DCCP/Class J /1483,20,7
1093,10/29/2019,DCLPS/1647,DCP/pop/5482,DCCP/Class A/1476,245,10
1094,10/29/2019,DCLPS/1648,DCP/pop/5563,DCCP/Class J /1482,176,2
1095,10/29/2019,DCLPS/1649,DCP/pop/5548,DCCP/Class A/1487,59,8
1096,10/30/2019,DCLPS/1650,DCP/pop/5482,DCCP/Class J /1488,25,9
1097,10/30/2019,DCLPS/1651,DCP/pop/5537,DCCP/Class H/1514,212,4
1098,10/30/2019,DCLPS/1652,DCP/pop/5550,DCCP/Class A/1484,25,2
1099,10/30/2019,DCLPS/1653,DCP/pop/5617,DCCP/Class J /1488,177,3
1100,10/30/2019,DCLPS/1654,DCP/pop/5478,DCCP/Class A/1476,11,10
1101,10/30/2019,DCLPS/1655,DCP/pop/5486,DCCP/Class A/1485,203,7
1102,10/31/2019,DCLPS/1656,DCP/pop/5541,DCCP/Class A/1477,64,9
1103,10/31/2019,DCLPS/1657,DCP/pop/5622,DCCP/Class A/1485,111,8
1104,10/31/2019,DCLPS/1658,DCP/pop/5610,DCCP/Class J /1488,267,8
1105,10/31/2019,DCLPS/1659,DCP/pop/5544,DCCP/Class A/1476,148,9
1106,10/31/2019,DCLPS/1660,DCP/pop/5507,DCCP/Class WT/1478,162,4
1107,10/31/2019,DCLPS/1661,DCP/pop/5491,DCCP/Class J /1481,118,9
1108,10/31/2019,DCLPS/1662,DCP/pop/5532,DCCP/Class J /1482,195,8
1109,10/31/2019,DCLPS/1663,DCP/pop/5655,DCCP/Class A/1484,85,8
1110,10/31/2019,DCLPS/1664,DCP/pop/5483,DCCP/Class A/1536,199,0
1111,10/31/2019,DCLPS/1665,DCP/pop/5542,DCCP/Class J /1483,108,8
1112,10/31/2019,DCLPS/1666,DCP/pop/5573,DCCP/Class H/1512,164,4
1113,11/4/2019,DCLPS/1667,DCP/pop/5567,DCCP/Class J /1488,40,9
1114,11/4/2019,DCLPS/1668,DCP/pop/5615,DCCP/Class A/1476,256,8
1115,11/4/2019,DCLPS/1669,DCP/pop/5500,DCCP/Class A/1487,175,6
1116,11/4/2019,DCLPS/1670,DCP/pop/5561,DCCP/Class H/1514,286,2
1117,11/5/2019,DCLPS/1671,DCP/pop/5636,DCCP/Class J /1483,42,1
1118,11/6/2019,DCLPS/1672,DCP/pop/5548,DCCP/Class A/1476,1,10
1119,11/6/2019,DCLPS/1673,DCP/pop/5645,DCCP/Class H/1514,198,6
1120,11/6/2019,DCLPS/1674,DCP/pop/5492,DCCP/Class A/1536,187,8
1121,11/6/2019,DCLPS/1675,DCP/pop/5575,DCCP/Class A/1476,45,5
1122,11/6/2019,DCLPS/1676,DCP/pop/5565,DCCP/Class J /1494,2,8
1123,11/6/2019,DCLPS/1677,DCP/pop/5488,DCCP/Class J /1488,30,5
1124,11/6/2019,DCLPS/1678,DCP/pop/5552,DCCP/Class A/1477,99,4
1125,11/6/2019,DCLPS/1679,DCP/pop/5601,DCCP/Class J /1475,292,3
1126,11/6/2019,DCLPS/1680,DCP/pop/5556,DCCP/Class J /1483,7,5
1127,11/6/2019,DCLPS/1681,DCP/pop/5486,DCCP/Class A/1487,137,6
1128,11/6/2019,DCLPS/1682,DCP/pop/5545,DCCP/Class J /1488,183,6
1129,11/6/2019,DCLPS/1683,DCP/pop/5622,DCCP/Class A/1485,259,7
1130,11/6/2019,DCLPS/1684,DCP/pop/5496,DCCP/Class A/1487,212,8
1131,11/6/2019,DCLPS/1685,DCP/pop/5586,DCCP/Class A/1476,204,3
1132,11/6/2019,DCLPS/1686,DCP/pop/5595,DCCP/Class A/1484,140,1
1133,11/7/2019,DCLPS/1687,DCP/pop/5590,DCCP/Class A/1484,166,9
1134,11/7/2019,DCLPS/1688,DCP/pop/5620,DCCP/Class J /1488,276,6
1135,11/7/2019,DCLPS/1689,DCP/pop/5504,DCCP/Class J /1483,14,10
1136,11/7/2019,DCLPS/1690,DCP/pop/5639,DCCP/Class V/1497,250,0
1137,11/8/2019,DCLPS/1691,DCP/pop/5567,DCCP/Class A/1476,29,9
1138,11/8/2019,DCLPS/1692,DCP/pop/5597,DCCP/Class A/1487,195,4
1139,11/8/2019,DCLPS/1693,DCP/pop/5478,DCCP/Class A/1477,258,3
1140,11/8/2019,DCLPS/1694,DCP/pop/5645,DCCP/Class A/1485,52,7
1141,11/8/2019,DCLPS/1695,DCP/pop/5606,DCCP/Class J /1488,109,7
1142,11/8/2019,DCLPS/1696,DCP/pop/5614,DCCP/Class J /1483,37,2
1143,11/8/2019,DCLPS/1697,DCP/pop/5547,DCCP/Class J /1538,67,6
1144,11/12/2019,DCLPS/1698,DCP/pop/5495,DCCP/Class A/1476,195,7
1145,11/12/2019,DCLPS/1699,DCP/pop/5509,DCCP/Class J /1475,104,8
1146,11/12/2019,DCLPS/1700,DCP/pop/5482,DCCP/Class A/1477,51,6
1147,11/12/2019,DCLPS/1701,DCP/pop/5531,DCCP/Class WT/1478,249,4
1148,11/12/2019,DCLPS/1702,DCP/pop/5501,DCCP/Class A/1476,209,7
1149,11/12/2019,DCLPS/1703,DCP/pop/5597,DCCP/Class H/1511,47,8
1150,11/12/2019,DCLPS/1704,DCP/pop/5478,DCCP/Class A/1485,85,3
1151,11/12/2019,DCLPS/1705,DCP/pop/5593,DCCP/Class A/1476,183,0
1152,11/14/2019,DCLPS/1706,DCP/pop/5655,DCCP/Class WT/1478,251,5
1153,11/14/2019,DCLPS/1707,DCP/pop/5656,DCCP/Class A/1485,146,10
1154,11/14/2019,DCLPS/1708,DCP/pop/5636,DCCP/Class A/1476,5,6
1155,11/14/2019,DCLPS/1709,DCP/pop/5528,DCCP/Class J /1494,284,7
1156,11/14/2019,DCLPS/1710,DCP/pop/5607,DCCP/Class J /1515,57,4
1157,11/14/2019,DCLPS/1711,DCP/pop/5547,DCCP/Class J /1515,227,5
1158,11/14/2019,DCLPS/1712,DCP/pop/5552,DCCP/Class J /1482,271,4
1159,11/14/2019,DCLPS/1713,DCP/pop/5623,DCCP/Class J /1483,79,1
1160,11/15/2019,DCLPS/1714,DCP/pop/5598,DCCP/Class J /1489,69,9
1161,11/15/2019,DCLPS/1715,DCP/pop/5602,DCCP/Class J /1481,149,8
1162,11/15/2019,DCLPS/1716,DCP/pop/5502,DCCP/Class J /1475,204,1
1163,11/20/2019,DCLPS/1717,DCP/pop/5520,DCCP/Class H/1512,160,0
1164,11/20/2019,DCLPS/1718,DCP/pop/5573,DCCP/Class A/1487,228,2
1165,11/20/2019,DCLPS/1719,DCP/pop/5546,DCCP/Class A/1476,81,3
1166,11/20/2019,DCLPS/1720,DCP/pop/5659,DCCP/Class A/1485,157,0
1167,11/20/2019,DCLPS/1721,DCP/pop/5566,DCCP/Class A/1477,77,0
1168,11/20/2019,DCLPS/1722,DCP/pop/5566,DCCP/Class J /1488,30,0
1169,11/20/2019,DCLPS/1723,DCP/pop/5580,DCCP/Class A/1484,111,8
1170,11/20/2019,DCLPS/1724,DCP/pop/5606,DCCP/Class A/1487,201,5
1171,11/20/2019,DCLPS/1725,DCP/pop/5511,DCCP/Class A/1476,33,8
1172,11/20/2019,DCLPS/1726,DCP/pop/5486,DCCP/Class J /1537,134,4
1173,11/20/2019,DCLPS/1727,DCP/pop/5608,DCCP/Class J /1488,270,8
1174,11/20/2019,DCLPS/1728,DCP/pop/5516,DCCP/Class J /1537,166,2
1175,11/20/2019,DCLPS/1729,DCP/pop/5509,DCCP/Class J /1535,114,4
1176,11/20/2019,DCLPS/1730,DCP/pop/5600,DCCP/Class J /1548,10,5
1177,11/20/2019,DCLPS/1731,DCP/pop/5602,DCCP/Class A/1476,31,0
1178,11/20/2019,DCLPS/1732,DCP/pop/5498,DCCP/Class J /1488,109,10
1179,11/20/2019,DCLPS/1733,DCP/pop/5650,DCCP/Class J /1494,182,0
1180,11/20/2019,DCLPS/1734,DCP/pop/5562,DCCP/Class J /1515,290,10
1181,11/20/2019,DCLPS/1735,DCP/pop/5555,DCCP/Class H/1512,2,8
1182,11/20/2019,DCLPS/1736,DCP/pop/5654,DCCP/Class J /1525,14,8
1183,11/20/2019,DCLPS/1737,DCP/pop/5486,DCCP/Class V/1541,118,9
1184,11/20/2019,DCLPS/1738,DCP/pop/5640,DCCP/Class A/1485,185,3
1185,11/20/2019,DCLPS/1739,DCP/pop/5481,DCCP/Class J /1488,92,1
1186,11/21/2019,DCLPS/1740,DCP/pop/5536,DCCP/Class WT/1478,241,8
1187,11/21/2019,DCLPS/1741,DCP/pop/5524,DCCP/Class J /1538,36,0
1188,11/21/2019,DCLPS/1742,DCP/pop/5588,DCCP/Class J /1489,54,1
1189,11/21/2019,DCLPS/1743,DCP/pop/5555,DCCP/Class J /1481,173,7
1190,11/21/2019,DCLPS/1744,DCP/pop/5529,DCCP/Class J /1483,140,8
1191,11/21/2019,DCLPS/1745,DCP/pop/5524,DCCP/Class A/1536,26,1
1192,11/21/2019,DCLPS/1746,DCP/pop/5580,DCCP/Class A/1476,179,0
1193,11/21/2019,DCLPS/1747,DCP/pop/5642,DCCP/Class A/1487,15,4
1194,11/21/2019,DCLPS/1748,DCP/pop/5640,DCCP/Class J /1537,227,4
1195,11/21/2019,DCLPS/1749,DCP/pop/5651,DCCP/Class J /1483,175,0
1196,11/21/2019,DCLPS/1750,DCP/pop/5561,DCCP/Class V/1520,55,2
1197,11/21/2019,DCLPS/1751,DCP/pop/5542,DCCP/Class V/1544,17,9
1198,11/21/2019,DCLPS/1752,DCP/pop/5543,DCCP/Class A/1536,170,4
1199,11/21/2019,DCLPS/1753,DCP/pop/5630,DCCP/Class J /1494,101,3
1200,11/21/2019,DCLPS/1754,DCP/pop/5522,DCCP/Class H/1491,99,6
1201,11/21/2019,DCLPS/1755,DCP/pop/5575,DCCP/Class A/1487,223,10
1202,11/21/2019,DCLPS/1756,DCP/pop/5499,DCCP/Class A/1476,24,1
1203,11/21/2019,DCLPS/1757,DCP/pop/5657,DCCP/Class A/1484,60,4
1204,11/21/2019,DCLPS/1758,DCP/pop/5533,DCCP/Class J /1483,186,6
1205,11/21/2019,DCLPS/1759,DCP/pop/5512,DCCP/Class H/1514,196,7
1206,11/21/2019,DCLPS/1760,DCP/pop/5626,DCCP/Class J /1488,85,2
1207,11/21/2019,DCLPS/1761,DCP/pop/5624,DCCP/Class J /1549,87,7
1208,11/22/2019,DCLPS/1762,DCP/pop/5656,DCCP/Class J /1525,284,1
1209,11/22/2019,DCLPS/1763,DCP/pop/5605,DCCP/Class J /1515,97,6
1210,11/22/2019,DCLPS/1764,DCP/pop/5564,DCCP/Class A/1476,4,8
1211,11/22/2019,DCLPS/1765,DCP/pop/5536,DCCP/Class A/1484,245,3
1212,11/26/2019,DCLPS/1766,DCP/pop/5565,DCCP/Class H/1512,13,1
1213,11/27/2019,DCLPS/1767,DCP/pop/5519,DCCP/Class WT/1478,7,0
1214,11/27/2019,DCLPS/1768,DCP/pop/5550,DCCP/Class H/1511,246,10
1215,11/27/2019,DCLPS/1769,DCP/pop/5651,DCCP/Class H/1491,292,7
1216,11/27/2019,DCLPS/1770,DCP/pop/5586,DCCP/Class J /1548,259,6
1217,11/27/2019,DCLPS/1771,DCP/pop/5640,DCCP/Class A/1487,70,1
1218,11/27/2019,DCLPS/1772,DCP/pop/5634,DCCP/Class A/1536,213,2
1219,11/28/2019,DCLPS/1773,DCP/pop/5536,DCCP/Class WT/1478,111,7
1220,11/28/2019,DCLPS/1774,DCP/pop/5605,DCCP/Class A/1476,20,1
1221,11/28/2019,DCLPS/1775,DCP/pop/5656,DCCP/Class H/1491,32,3
1222,11/28/2019,DCLPS/1776,DCP/pop/5604,DCCP/Class A/1536,157,1
1223,11/28/2019,DCLPS/1777,DCP/pop/5499,DCCP/Class A/1476,245,0
1224,11/28/2019,DCLPS/1778,DCP/pop/5543,DCCP/Class A/1477,96,0
1225,11/28/2019,DCLPS/1779,DCP/pop/5658,DCCP/Class A/1485,41,8
1226,11/28/2019,DCLPS/1780,DCP/pop/5572,DCCP/Class J /1488,61,0
1227,11/28/2019,DCLPS/1781,DCP/pop/5614,DCCP/Class A/1485,282,3
1228,11/28/2019,DCLPS/1782,DCP/pop/5648,DCCP/Class A/1536,83,3
1229,11/28/2019,DCLPS/1783,DCP/pop/5561,DCCP/Class J /1488,202,7
1230,11/28/2019,DCLPS/1784,DCP/pop/5546,DCCP/Class V/1505,48,0
1231,11/28/2019,DCLPS/1785,DCP/pop/5491,DCCP/Class H/1512,105,8
1232,11/28/2019,DCLPS/1786,DCP/pop/5566,DCCP/Class H/1511,287,4
1233,11/28/2019,DCLPS/1787,DCP/pop/5553,DCCP/Class H/1491,158,4
1234,11/28/2019,DCLPS/1788,DCP/pop/5508,DCCP/Class A/1476,288,1
1235,11/28/2019,DCLPS/1789,DCP/pop/5519,DCCP/Class J /1488,251,10
1236,11/28/2019,DCLPS/1790,DCP/pop/5559,DCCP/Class A/1476,269,10
1237,11/28/2019,DCLPS/1791,DCP/pop/5544,DCCP/Class A/1487,144,5
1238,11/28/2019,DCLPS/1792,DCP/pop/5644,DCCP/Class H/1491,58,4
1239,11/28/2019,DCLPS/1793,DCP/pop/5624,DCCP/Class J /1537,167,9
1240,11/28/2019,DCLPS/1794,DCP/pop/5519,DCCP/Class H/1491,98,7
1241,11/28/2019,DCLPS/1795,DCP/pop/5607,DCCP/Class J /1549,219,10
1242,11/28/2019,DCLPS/1796,DCP/pop/5532,DCCP/Class H/1517,43,5
1243,11/28/2019,DCLPS/1797,DCP/pop/5519,DCCP/Class A/1487,227,7
1244,11/29/2019,DCLPS/1798,DCP/pop/5527,DCCP/Class M/1518,211,4
1245,11/29/2019,DCLPS/1799,DCP/pop/5604,DCCP/Class J /1515,112,6
1246,11/29/2019,DCLPS/1800,DCP/pop/5550,DCCP/Class H/1517,117,3
1247,12/2/2019,DCLPS/1801,DCP/pop/5537,DCCP/Class J /1549,118,2
1248,12/2/2019,DCLPS/1802,DCP/pop/5545,DCCP/Class A/1487,236,2
1249,12/2/2019,DCLPS/1803,DCP/pop/5650,DCCP/Class J /1483,19,2
1250,12/2/2019,DCLPS/1804,DCP/pop/5482,DCCP/Class H/1491,109,8
1251,12/2/2019,DCLPS/1805,DCP/pop/5535,DCCP/Class J /1482,131,9
1252,12/4/2019,DCLPS/1806,DCP/pop/5516,DCCP/Class J /1481,136,1
1253,12/4/2019,DCLPS/1807,DCP/pop/5494,DCCP/Class WT/1478,291,2
1254,12/4/2019,DCLPS/1808,DCP/pop/5586,DCCP/Class WT/1478,138,7
1255,12/4/2019,DCLPS/1809,DCP/pop/5499,DCCP/Class H/1491,237,3
1256,12/5/2019,DCLPS/1810,DCP/pop/5652,DCCP/Class M/1518,176,8
1257,12/6/2019,DCLPS/1811,DCP/pop/5484,DCCP/Class V/1496,119,10
1258,12/9/2019,DCLPS/1812,DCP/pop/5591,DCCP/Class H/1550,211,2
1259,12/9/2019,DCLPS/1813,DCP/pop/5567,DCCP/Class H/1491,106,10
1260,12/9/2019,DCLPS/1814,DCP/pop/5521,DCCP/Class WT/1478,2,1
1261,12/9/2019,DCLPS/1815,DCP/pop/5524,DCCP/Class J /1483,282,4
1262,12/9/2019,DCLPS/1816,DCP/pop/5538,DCCP/Class WT/1478,52,8
1263,12/9/2019,DCLPS/1817,DCP/pop/5580,DCCP/Class H/1512,198,8
1264,12/9/2019,DCLPS/1818,DCP/pop/5613,DCCP/Class A/1477,260,5
1265,12/9/2019,DCLPS/1819,DCP/pop/5625,DCCP/Class H/1511,172,2
1266,12/9/2019,DCLPS/1820,DCP/pop/5586,DCCP/Class J /1483,134,2
1267,12/9/2019,DCLPS/1821,DCP/pop/5557,DCCP/Class A/1476,121,5
1268,12/9/2019,DCLPS/1822,DCP/pop/5529,DCCP/Class A/1485,123,7
1269,12/9/2019,DCLPS/1823,DCP/pop/5533,DCCP/Class A/1485,61,1
1270,12/9/2019,DCLPS/1824,DCP/pop/5545,DCCP/Class A/1476,272,6
1271,12/9/2019,DCLPS/1825,DCP/pop/5551,DCCP/Class A/1477,206,6
1272,12/12/2019,DCLPS/1826,DCP/pop/5478,DCCP/Class M/1551,21,2
